,Parquet,HDF Fixed,HDF Table,HDF Select,CSV,Data
read,11.368484742428569,287.3653602934286,126.03246549400008,154.17502968328583,56.556957127142596,Mixed
write,44.63070612971427,102.96818407657149,154.17502968328583,154.17502968328583,261.5256297935713,Mixed
size,2027395790.0,2902260968.0,2601136480.0,2601136480.0,2601136480.0,Mixed
