,Parquet,HDF Fixed,HDF Table,HDF Select,CSV,Data
read,2.9305703887142864,5.25955418457143,1.0234409535714317,5.007504214285713,33.286956539714275,Numeric
write,11.876861777285715,6.013046029714287,5.007504214285713,5.007504214285713,227.65633660399996,Numeric
size,2026791135.0,1600821192.0,1601034405.0,1601034405.0,1601034405.0,Numeric
